ppaindisc	Pain_discuss	I need to discuss my pain/discomfort with my health care provider 
pbreathdisc	Breathing_discuss	I need to discuss my breathing problems with my health care provider 
pheartdisc	Heart_discuss	I need to discuss my heart, blood or infection related problems with my health care provider 
pintakedisc	Intake_discuss	I need to discuss my eating/drinking problems with my health care provider 
pbowdisc	Bowel_discuss	I need to discuss my bowel / bladder problems with my health care provider 
penerdisc	Energy_discuss	I need to discuss my energy problems with my health care provider 
psleepdisc	Sleep_discuss	I need to discuss my sleep and rest problems with my health care provider 
pvisidisc	Vision_discuss	I need to discuss my vision/hearing problems with my health care provider 
pskindisc	Skin_discuss	I need to discuss my hair loss / skin problems with my health care provider 
pmemdisc	Memory_discuss	I need to discuss my thinking and memory problems with my health care provider 
preldisc	Relation_discuss	I need to discuss my problems with relationships with my health care provider 
padldisc	Activities_discuss	I need to discuss my ability to maintain my activities of daily living with my health care provider 
pmooddisc	Mood_discuss	I need to discuss my mood and feelings with my health care provider 
pctrldisc	Control_discuss	I need to discuss my ability to maintain a sense of control with my health care provider 
pworrdisc	Worries_discuss	I need to discuss my concerns/worries with my health care provider 
pspidisc	Spiritual_discuss	I need to discuss my spiritual needs with my health care provider 
pothdisc	Other_discuss	I need to discuss my other concerns with my health care provider 
