RESERVED	__TRICEPS_FILE_TYPE__	SCHEDULE					
RESERVED	__TITLE__	User Evaluation
RESERVED	__ICON__	CETbulblogo.jpg					
RESERVED	__HEADER_MSG__	User Evaluation					
RESERVED	__PASSWORD_FOR_ADMIN_MODE__	bypass					
RESERVED	__SHOW_QUESTION_REF__	TRUE					
RESERVED	__AUTOGEN_OPTION_NUM__	TRUE					
RESERVED	__DEVELOPER_MODE__	TRUE					
RESERVED	__DEBUG_MODE__	FALSE	
RESERVED	__SWAP_NEXT_AND_PREVIOUS__	true
	ueval_intro		1	q		Thanks for completing this interview.  Please help us assess and improve the system by answering the following set of questions	nothing
past experience;computerized questionnaires	ueval1		1	[		Have you ever filled out a computerized questionnaire before?	list|0|No|1|Yes
past experience;web browsers	ueval2		1	]		Have you ever used a web browser before?	list|0|No|1|Yes
using system;intro	ueval3		1	[		Please select the option for each item that describes best <b>how the questionnaire worked</b> for you:	nothing
using system;entering answers	ueval4		1	q		Entering answers	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
using system;moving between questions	ueval5		1	q		Moving between questions	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
using system;moving between screens	ueval6		1	q		Moving between screens	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
using system;changing answers	ueval7		1	q		Changing an answer	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
using system;comments	ueval8		1	q		Adding comments	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
using system;help	ueval9		1	]		Finding help when needed	list|0|Very easy|1|Slightly easy|2|Slightly difficult|3|Very difficult
system;interface;intro	ueval10		1	[		Please select the option for each item that describes best <b>how the computer worked</b> for you:	nothing
system;interface;readability	ueval11		1	q		Displaying text	list|0|Very difficult to read|1|Slightly difficult to read|2|Slightly easy to read|3|Very easy to read
system;interface;buttons	ueval12		1	q		Button positions	list|0|Very difficult to use|1|Slightly difficult to use|2|Slightly easy to use|3|Very easy to use
system;interface;keyboard	ueval13		1	q		Using the keyboard	list|0|Very difficult|1|Slightly difficult|2|Slightly easy|3|Very easy
system;interface;mouse	ueval14		1	q		Using the mouse	list|0|Very difficult|1|Slightly difficult|2|Slightly easy|3|Very easy
system;interface;colors	ueval15		1	]		Screen colors	list|0|Very natural|1|Slightly natural|2|Slightly unnatural|3|Very unnatural
system;error reporting	ueval16		1	q		Were error reports helpful?	list|0|Very helpful|1|Slightly helpful|2|Slightly irrelevant|3|What help
system;speed	ueval17		1	q		How was the speed of the system?	"list|0|No delays at all|1|Occasional, unimportant delays|2|Occasional, important delays|3|Much too slow"
overall impression;quality	ueval18		1	[		Please select the option that describes best your <b>overall impression</b> of this computerized questionnaire:	list|0|Terrible|1|Pretty bad|2|Neither good nor bad|3|Pretty good|4|Wonderful
overall impression;usability	ueval19		1	q		Please select the option that describes best the <b>usability</b> of this computerized questionnaire:	list|0|Very easy to use|1|Slightly easy to use|2|Slightly difficult to use|3|Very difficult to use
overall impression;compared to paper	ueval20		1	q		How would you say this system compares to questionnaires on paper?	list|0|Much better|1|Slightly better|2|No difference|3|Slightly worse|4|Much worse
overall impression;comments	ueval21		1	]		We would greatly appreciate your comments on the system and your suggestions on how it could be improved.	memo				 
end of subject computer use	end_S_use		1	q		Thank you!	nothing
